date,time,weather_humidity,weather_temperature,soil_moisture,water_level,soil_temperature,soil_conductivity,soil_ph,soil_nitrogen,soil_phosporus,soil_potasium
06/06/2024,20:22:01,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:22:07,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:23:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:23:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:24:03,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:24:09,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.20,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:25:04,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:25:10,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:26:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:26:11,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:27:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:28:06,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:28:11,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:29:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:29:11,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:30:05,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:30:11,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.20,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:31:02,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:31:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:32:03,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:5.00,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:32:08,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:33:01,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:33:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:33:11,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:34:06,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:35:06,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:36:02,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:36:08,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:37:03,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:37:09,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:38:04,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:38:09,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:39:03,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:39:09,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:40:04,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:40:10,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:41:05,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:41:09,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:42:05,weather_humidity:46.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:43:05,weather_humidity:45.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:44:05,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:45:07,weather_humidity:43.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.00,conductivity:217,ph:4.80,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:46:03,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.37,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
06/06/2024,20:46:09,weather_humidity:44.00,weather_temperature:29.00,soil_moisture:100.00,water_level:16.23,temperature:27.10,conductivity:217,ph:4.90,nitrogen:60,phosporus:185,potasium:178
